"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","regulation","label"
0.342496854720312,5.50997061222415,5.3394436421589,1.53627492650097e-06,0.00025215712517579,5.06562494741018,"CKAP4","NS",""
0.909620321717539,4.16166357663062,5.33098338062081,1.58544707001093e-06,0.000255972816628036,5.03606698545859,"TRIP13","NS",""
0.518734492817761,4.75823406803597,5.32987343782676,1.59201218693581e-06,0.000255972816628036,5.03219025313861,"DONSON","NS",""
0.410981134947741,4.47038237322279,5.32263465582627,1.63549002739501e-06,0.000257935845042452,5.00691352766604,"KIF2A","NS",""
-0.626785434257849,5.53711228446481,-5.32239318064446,1.63696036709051e-06,0.000257935845042452,5.0060705246463,"FCGRT","NS",""
-0.792938541384132,6.79937834270108,-5.30692035221629,1.73393936130644e-06,0.000270511708080254,4.95207995793449,"CD55","NS",""
0.648590146153028,4.41306553446819,5.30288144284497,1.76017172802968e-06,0.000271912018809448,4.93799510945636,"ELF4","NS",""
1.83006107623362,5.64763459928095,5.29964158131464,1.78149652823339e-06,0.000272534376654112,4.92669931038399,"IGF2","Up","IGF2"
0.451918282829443,4.76354220003626,5.26120403929979,2.05475126214255e-06,0.000311314573438271,4.79286070726325,"PDP2","NS",""
0.736415729753176,4.39291128413077,5.25588687050176,2.09566353178888e-06,0.000314489240670451,4.77437200518724,"AURKA","NS",""
0.466811963864652,5.46719359631877,5.24670177540534,2.1682342067326e-06,0.000322310060334769,4.74244866384795,"ASNS","NS",""
0.539141905596965,5.12033993323791,5.22865389908141,2.31810716648867e-06,0.000339900059514219,4.67977719581742,"CDC25B","NS",""
1.01066707038183,4.49202837991221,5.22674157585261,2.33457262235296e-06,0.000339900059514219,4.67314092815273,"APOBEC3B","Up","APOBEC3B"
0.343750958736667,6.43364389682848,5.22414035315855,2.35715449741924e-06,0.000339900059514219,4.66411532540653,"SNRPB","NS",""
0.472350132443659,4.93326161199685,5.22234671556364,2.37285057730305e-06,0.000339900059514219,4.65789273733549,"SPIN4","NS",""
0.398511894809228,5.36032698416096,5.21788062670251,2.41238143318175e-06,0.000342449497681484,4.6424019048904,"PHIP","NS",""
-0.370511555057677,5.15610428415722,-5.20293361514665,2.54945393931335e-06,0.000352757839428723,4.59059060170521,"PHF11","NS",""
0.50797018828713,4.45411639245615,5.201926453851,2.55896088726941e-06,0.000352757839428723,4.58710128656418,"PKMYT1","NS",""
-0.591268249037536,5.09397854063703,-5.20136512643052,2.56427457903954e-06,0.000352757839428723,4.58515666620722,"AMT","NS",""
0.279549228992873,6.10269245165413,5.20028310939842,2.5745479173893e-06,0.000352757839428723,4.58140841251873,"MAPRE1","NS",""
-0.466691781133584,3.62576011372385,-5.19054557493942,2.66884256693197e-06,0.000362525451096095,4.54768841719035,"RIPOR3","NS",""
-0.595618414562306,3.99293645644713,-5.18723915893912,2.70162683794086e-06,0.000363842171670377,4.53624365376606,"FGFR2","NS",""
-0.677215716868116,4.70546690809454,-5.17733815363859,2.80218592214654e-06,0.000374186809959856,4.50198770025519,"DUSP26","NS",""
0.425780706950944,4.69849909906977,5.17039765042488,2.87486225884802e-06,0.000380665584980406,4.4779882653137,"NEMP1","NS",""
-0.483182485877689,4.38101600575036,-5.16499421155177,2.93272382062424e-06,0.000385091077013135,4.4593116343599,"SLC25A29","NS",""
0.616123951952147,4.5842899228734,5.15893844007494,2.99893214820808e-06,0.000386280355147029,4.43838842418657,"SPAG5","NS",""
0.482362201797569,4.44056686336789,5.15792088513659,3.01020047469083e-06,0.000386280355147029,4.43487353367361,"TIGD7","NS",""
-0.403267232878727,5.41301310312445,-5.15745932362915,3.01532548601158e-06,0.000386280355147029,4.43327926488539,"ACOT2","NS",""
0.882569861305646,4.49510582052584,5.15259932522494,3.06981258705617e-06,0.000390089007534226,4.41649551828905,"UBE2T","NS",""
0.260683392492392,5.35480080628529,5.1429689143819,3.18065730038022e-06,0.000395518892136053,4.38325396803277,"SF3B3","NS",""
-0.242979008986522,6.35318048312854,-5.14260698248839,3.18489891086096e-06,0.000395518892136053,4.38200510846473,"NDUFS3","NS",""
0.505363927506181,4.25727838746767,5.14064250668414,3.20801848958823e-06,0.000395518892136053,4.37522715649793,"SPDL1","NS",""
0.567529052376935,3.82513343156579,5.13872920685207,3.23069434087669e-06,0.000395518892136053,4.36862666120627,"ECT2","NS",""
0.586553094381374,4.89694810097526,5.13811148895322,3.23804893606339e-06,0.000395518892136053,4.36649584702305,"NXT2","NS",""
-0.76822919243677,4.26671686021714,-5.13024873742605,3.3331137175279e-06,0.000403999021900671,4.33938132263508,"FOLR2","NS",""
0.399347665603662,4.9064845491623,5.12083820403375,3.45050311175673e-06,0.000415034942991991,4.3069488563129,"CEBPG","NS",""
-1.0290648492539,4.90053445903018,-5.09326119460006,3.81840362448839e-06,0.000455807469023209,4.21203125033076,"FMO2","Down","FMO2"
0.253821965822971,6.40430320228485,5.08550409935732,3.92865881227172e-06,0.000465442683495981,4.18536559642347,"SMIM15","NS",""
-0.871347465458624,5.99455815815911,-5.07452647197715,4.09005098059445e-06,0.000475487749335407,4.14765452993478,"CD14","NS",""
0.258896392978579,4.58296677942143,5.07401250901692,4.09776472502335e-06,0.000475487749335407,4.14588966383252,"G2E3","NS",""
-0.508206821379216,5.18880970381074,-5.0735994121935,4.10397498950406e-06,0.000475487749335407,4.14447120346988,"TMEM220","NS",""
0.360242161911071,5.18090839959937,5.06621124964089,4.21661837076542e-06,0.000482038718942499,4.11910947887926,"ASL","NS",""
0.279897124832597,5.67535297630077,5.06588247074094,4.22170103535348e-06,0.000482038718942499,4.11798117946037,"POP7","NS",""
0.234487307051826,5.73271504490009,5.05598894247511,4.37749369875488e-06,0.000496231425980437,4.08404136180574,"XPO6","NS",""
